id,parent,child,relation
1,1,2,located
2,1,3,located
3,1,4,located
4,1,11,located
5,1,26,located
6,1,27,located
7,1,28,located
8,1,29,located
9,1,30,located
10,1,31,located
11,1,32,located
12,1,33,located
13,1,34,located
14,1,313,located
15,1,349,located
16,1,350,located
17,1,351,located
18,1,352,located
19,1,353,located
20,1,354,located
21,1,355,located
22,1,356,located
23,1,357,located
24,1,358,located
25,4,5,located
26,4,6,located
27,4,7,located
28,4,10,located
29,11,12,located
30,11,13,located
31,11,14,located
32,11,15,located
33,11,16,located
34,11,17,located
35,11,18,located
36,11,22,located
37,11,23,located
38,11,24,located
39,11,25,located
40,34,35,located
41,34,36,located
42,34,45,located
43,34,46,located
44,34,47,located
45,34,48,located
46,34,49,located
47,34,57,located
48,34,58,located
49,34,59,located
50,34,64,located
51,34,65,located
52,34,66,located
53,34,68,located
54,34,69,located
55,34,70,located
56,34,71,located
57,34,72,located
58,34,73,located
59,34,74,located
60,34,89,located
61,34,90,located
62,34,94,located
63,34,114,located
64,34,115,located
65,34,117,located
66,34,285,located
67,34,286,located
68,34,287,located
69,34,300,located
70,34,301,located
71,34,302,located
72,34,303,located
73,34,312,located
74,313,314,located
75,313,315,located
76,313,316,located
77,313,348,located
78,7,8,located
79,7,9,located
80,18,19,located
81,18,20,located
82,18,21,located
83,36,37,located
84,36,38,located
85,36,39,located
86,36,40,located
87,36,41,located
88,36,42,located
89,36,43,located
90,36,44,located
91,49,50,located
92,49,51,located
93,49,52,located
94,49,53,located
95,49,54,located
96,49,55,located
97,49,56,located
98,59,60,located
99,59,63,located
100,66,67,located
101,74,75,located
102,74,86,located
103,74,87,located
104,74,88,located
105,90,91,located
106,94,95,located
107,94,103,located
108,94,104,located
109,94,107,located
110,115,116,located
111,117,118,located
112,117,242,located
113,117,280,located
114,117,281,located
115,117,282,located
116,117,283,located
117,117,284,located
118,287,288,located
119,287,289,located
120,287,291,located
121,287,295,located
122,287,297,located
123,287,298,located
124,303,304,located
125,303,305,located
126,303,306,located
127,303,307,located
128,303,308,located
129,303,309,located
130,303,310,located
131,303,311,located
132,316,317,located
133,316,331,located
134,316,332,located
135,316,333,located
136,316,334,located
137,316,335,located
138,316,343,located
139,316,344,located
140,316,345,located
141,316,346,located
142,316,347,located
143,365,366,located
144,60,61,located
145,60,62,located
146,75,76,located
147,75,77,located
148,75,78,located
149,75,79,located
150,75,80,located
151,75,81,located
152,75,82,located
153,75,83,located
154,75,84,located
155,75,85,located
156,91,92,located
157,91,93,located
158,95,96,located
159,95,97,located
160,95,98,located
161,95,99,located
162,95,100,located
163,95,101,located
164,95,102,located
165,104,105,located
166,104,106,located
167,107,108,located
168,107,109,located
169,107,110,located
170,107,111,located
171,107,112,located
172,107,113,located
173,118,119,located
174,118,120,located
175,118,121,located
176,118,122,located
177,118,123,located
178,118,124,located
179,118,125,located
180,118,126,located
181,118,127,located
182,118,128,located
183,118,129,located
184,118,130,located
185,118,131,located
186,118,132,located
187,118,133,located
188,118,134,located
189,118,135,located
190,118,136,located
191,118,137,located
192,118,138,located
193,118,139,located
194,118,140,located
195,118,141,located
196,118,142,located
197,118,143,located
198,118,144,located
199,118,145,located
200,118,146,located
201,118,147,located
202,118,148,located
203,118,149,located
204,118,150,located
205,118,151,located
206,118,152,located
207,118,153,located
208,118,154,located
209,118,155,located
210,118,156,located
211,118,157,located
212,118,158,located
213,118,159,located
214,118,160,located
215,118,161,located
216,118,162,located
217,118,163,located
218,118,164,located
219,118,165,located
220,118,166,located
221,118,167,located
222,118,168,located
223,118,169,located
224,118,170,located
225,118,171,located
226,118,172,located
227,118,173,located
